pk,sk,assigned_cohort,fee,status_code,status,accept_reject_date,amount_to_be_paid,transaction_id,payment_status,i_agree_to_terms_and_conditions_of_global_shala,modified_at,apply_date,accept_reject_reason,category,not_started_date,cohort_p2,cohort_p1,team_name,team_code,application_id,i_have_read_and_agreed_to_the_terms_and_conditions,send_for_approval_mechanism_t_c,i_understand_that_i_will_have_to_commit_at_least56_hours_each_w,why_do_you_want_to_apply_for_this_internship,created_at,created_month,created_quarter,external_reference_url,work_item_sk,i_understand_that_this_is_the_first_step_towards_my_application,how_did_you_hear_about_this_opportunity,can_you_share_an_experience_where_you_proactively_pursued_learn,dropped_out_date,appear_in_wishlist
Learner#f3067028-feee-473a-8003-b114aa305ce3,Learner#000000000G1RYRMC22H9RYCYSP,,,1010,Applied,,$0.00,,unpaid,,1/1/1970,2/22/2023,,,,B185711,BTSZMU1,,,,TRUE,,,vsddvsfwewzxx,,,,,,,,,,
Learner#c577f426-abe7-4f04-a8db-92cff7ca86bd,Learner#000000000G1RYRMC22H9RYCYSP,,,1030,Rejected,4/24/2023,$200.00,,unpaid,,4/24/2023,4/11/2023,not,,,,B185711,,,,TRUE,,,For Experience,6/26/2023,June,Q2,,,,,,,
Learner#,Learner#000000000G1RYRMC22H9RYCYSP,,"$2,000.00",,,,,,,,12/7/2025,,,Internship,,,,,,,,,,,8/7/2023,August,Q3,,,,,,,"{'""sk'"":'""Cohort#0000000010GJAVWTSCQMC054R6'"""
Learner#fc1ab387-95e3-42fd-9c6e-d519f4df2861,Learner#000000000G1RYRMC22H9RYCYSP,,,1020,Accepted,4/27/2023,$200.00,,unpaid,,4/27/2023,4/26/2023,lgtm,,,BVDRZ08,B185711,,,,TRUE,,,To check the process,8/23/2023,August,Q3,,,,,,,
Learner#79bac6f6-bee2-4169-a792-fff5b29c5b12,Learner#000000000G1RYRMC22H9RYCYSP,B185711,,1120,Rewards,#VALUE!,$0.00,,unpaid,,3/9/2023,3/9/2023,This is an auto approved opportunity,,,,B185711,,,,TRUE,,,trewf,11/17/2023,November,Q4,,,,,,,
Learner#7135e838-f314-4c28-89df-d275c2b60603,Learner#000000000G1RYRMC22H9RYCYSP,BJD0QRN,,1070,Team Allocated,4/12/2023,$200.00,pi_3Mw5wdHbktQoRPOz1BLVPpI5,paid,,4/12/2023,4/12/2023,e,,,,BJD0QRN,,,,TRUE,,,gyguygj,12/18/2023,December,Q4,,,,,,,
Learner#214f8fe1-931e-4da8-b485-1a5633833368,Learner#000000000G1RYRMC22H9RYCYSP,,,1030,Rejected,4/24/2023,$200.00,1300,unpaid,,6/14/2023,4/16/2023,no,,,BWSANB5,B185711,,,,TRUE,,,For Experience,2/1/2024,February,Q1,,,,,,,
Learner#15b9af66-6f5d-4b7b-b58d-0e82f2b73625,Learner#000000000G1RYRMC22H9RYCYSP,,,1020,Accepted,4/14/2023,$200.00,1200,paid,,6/30/2023,4/14/2023,LGTMA,,,B185711,BJD0QRN,,,,TRUE,,,I do have relevant skills and I wanted to work as a project manager,3/27/2024,March,Q1,,,,,,,
Learner#1e2deae8-ba02-4fd6-a4dd-02746e433985,Learner#000000000G1RYRMC22H9RYCYSP,BJD0QRN,,1050,Dropped,4/10/2023,$200.00,pi_3MvLOsHbktQoRPOz0MOhM4o0,paid,,4/25/2023,4/10/2023,LGTM,,4/19/2023,B185711,BJD0QRN,,,,TRUE,,,I do have relevant skills and I wanted to work as a project manager,4/23/2024,April,Q2,,,,,,4/25/2023,
Learner#d07b9104-e428-4d10-9f89-b5b0cbfee33d,Learner#000000000G1RYRMC22H9RYCYSP,,,1010,Applied,,$0.00,,unpaid,,2/21/2023,2/21/2023,,,,B185711,BTSZMU1,,,,TRUE,,,I do have relevant skills and I wanted to work as a project manager,4/26/2024,April,Q2,,,,,,,
Learner#f92cd832-773d-424b-a95a-37cf4c892a35,Learner#000000000G1RYRMC22H9RYCYSP,B185711,,1070,Team Allocated,4/6/2023,$10.00,,unpaid,,4/10/2023,4/6/2023,LGTM,,,,B185711,,,,TRUE,,,I do have relevant skills and I wanted to work as a project manager,5/1/2024,May,Q2,,,,,,,
Learner#66616bc8-02aa-4ad8-92b5-b1881b3c81d2,Learner#000000000G1RYRMC22H9RYCYSP,,,1020,Accepted,4/25/2023,$200.00,1300,unpaid,,6/14/2023,4/25/2023,test,,,BVDRZ08,B185711,,,,TRUE,,,Testing,8/14/2024,August,Q3,,,,,,,
Learner#76b2985c-2b56-4301-8c2e-f9c189de2540,Learner#000000000G1RYRMC22H9RYCYSP,BVDRZ08,,1120,Rewards,6/28/2023,"$2,000.00",pi_3NO1mhHbktQoRPOz1GRWKBV8,paid,,6/29/2023,6/28/2023,loop,,,B185711,BVDRZ08,,,,TRUE,,,lopaz is cool,9/30/2024,September,Q3,,,,,,,
Learner#7d3a9e43-8b49-497e-b92f-c74a378f8067,Learner#000000000G1RYRMC22H9RYCYSP,,,1020,Accepted,4/13/2023,$200.00,,unpaid,,4/13/2023,4/13/2023,zz,,,,BJD0QRN,,,,TRUE,,,new learning,10/1/2024,October,Q4,,,,,,,
Learner#e84aea65-34d3-440a-bf04-f877d3bc5ce2,Learner#000000000G1RYRMC22H9RYCYSP,,,1030,Rejected,4/27/2023,$200.00,,unpaid,,1/7/2024,4/14/2023,lgtm,,,,BWSANB5,,,,TRUE,,,Testing,10/7/2024,October,Q4,,,,,,,
Learner#e59e19bf-c8eb-434a-afe5-4850fc141563,Learner#000000000G1RYRMC22H9RYCYSP,BJD0QRN,,1070,Team Allocated,#VALUE!,$200.00,,unpaid,,4/11/2023,4/11/2023,LGTM,,,B185711,BJD0QRN,,,,TRUE,,,I do have relevant skills and I wanted to work as a project manager,,,,,,,,,,
Learner#e87f0ecf-627a-48ab-aca9-79be7c4484d7,Learner#000000000G1RYRMC22H9RYCYSP,,,1010,Applied,,$0.00,,unpaid,,1/1/1970,2/21/2023,,,,,BTSZMU1,,,,TRUE,,,testing,3/5/2025,March,Q1,,,,,,,
Learner#838ff3db-f3de-4ae4-9c06-29632039ad2c,Learner#000000000G1RYRMC22H9RYCYSP,,,1010,Applied,,$0.00,,unpaid,,2/23/2023,2/23/2023,,,,BTSZMU1,B185711,,,,TRUE,,,vsvxc,4/25/2025,April,Q2,,,,,,,
Learner#b20d1870-25e8-4b99-b783-58a358cbba74,Learner#000000000G1RYRMC22H9RYCYSP,B185711,,1070,Team Allocated,5/9/2023,"$2,000.00",pi_3NAtKpHbktQoRPOz0hPFWx66,paid,,5/23/2023,5/9/2023,aaa,,,BVDRZ08,B185711,,,,TRUE,,,sdfdsdf,8/26/2025,August,Q3,,,,,,,
Learner#398bc692-a185-48b7-8d21-b7ea21ffee3d,Learner#000000000G1RYRMC22H9RYCYSP,B185711,,1070,Team Allocated,5/23/2023,"$2,000.00",pi_3NAtNCHbktQoRPOz1t3hR4lY,paid,,5/23/2023,5/23/2023,Looks good,,,BVDRZ08,B185711,,,,TRUE,,,I do have relevant skills,11/13/2025,November,Q4,,,,,,,
Learner#80343e25-e4de-4b8e-89e5-efc332354cd7,Learner#000000000G1RYRMC22H9RYCYSP,B185711,,1050,Dropped,#VALUE!,$0.00,,unpaid,,2/22/2023,2/22/2023,This is an auto approved opportunity,,,B185711,BTSZMU1,,,,TRUE,,,Learning,12/17/2025,December,Q4,,,,,,2/22/2023,
Learner#96a42778-c941-4916-b950-129df3ca038f,Learner#000000000G1RYRMC22H9RYCYSP,,,1020,Accepted,6/22/2023,"$2,000.00",,unpaid,,6/22/2023,6/22/2023,bv ncvbn,,,BVDRZ08,B185711,,,,TRUE,,,for experience,4/6/2026,April,Q2,,,,,,,
Learner#891054d6-8642-4929-b1ab-cb8c5d240014,Learner#000000000G1RYRMC22H9RYCYSP,,,1020,Accepted,4/13/2023,$200.00,,unpaid,,4/13/2023,4/12/2023,aa,,,B185711,BJD0QRN,,,,TRUE,,,123213,4/20/2026,April,Q2,,,,,,,
Learner#2bfd744c-da35-4991-9e7e-607f544ba80e,Learner#000000000G83249B39FZSAS08X,B378279,,1080,Started,,$0.00,,unpaid,TRUE,1/1/1970,1/27/2023,,,,,B378279,,,,,,,,7/26/2023,July,Q3,,,,,,,
Learner#b20d1870-25e8-4b99-b783-58a358cbba74,Learner#000000000G83249B39FZSAS08X,B378279,,1080,Started,,$0.00,,unpaid,TRUE,1/1/1970,1/26/2023,,,,,B378279,,,,,,,,7/26/2023,July,Q3,,,,,,,
Learner#e041ca64-ab5a-4108-99a1-514eb32b806c,Learner#000000000G83249B39FZSAS08X,,,1080,Started,#VALUE!,$0.00,,unpaid,TRUE,1/1/1970,10/27/2022,,,,,,,,,,,,,8/10/2023,August,Q3,,,,,,,
Learner#1e2deae8-ba02-4fd6-a4dd-02746e433985,Learner#000000000G83249B39FZSAS08X,,$0.00,1050,Dropped,,$0.00,,,TRUE,1/1/1970,8/8/2022,,Course,,,,,,,,,,,8/17/2023,August,Q3,,,,,,,
Learner#79bac6f6-bee2-4169-a792-fff5b29c5b12,Learner#000000000G83249B39FZSAS08X,B378279,,1080,Started,#VALUE!,$0.00,,unpaid,TRUE,3/16/2023,3/9/2023,tseee,,,,B378279,,,,,,,,8/22/2023,August,Q3,,,,,,,
Learner#,Learner#000000000G83249B39FZSAS08X,,$0.00,,,,,,,,6/19/2023,,,Course,,,,,,,,,,,8/28/2023,August,Q3,,,,,,,"""ref_properties'"":'""{\'""relation_id\'"":\'""YLM494\'""}'""}"""
Learner#5e552e2b-8f85-417e-8bac-2d6ae6873b28,Learner#000000000G83249B39FZSAS08X,B378279,,1080,Started,,$0.00,,unpaid,TRUE,1/1/1970,1/28/2023,,,,,B378279,,,,,,,,10/3/2023,October,Q4,,,,,,,
